200228,173708,-system,start log
200228,173720,-system,sys,wsa_accept from 0 - 876
200228,173813,ADMIN,sta,account login 0-0
200228,191740,ADMIN,clo,svr:0 conn:1 save-mob
200228,191745,-system,clo,server fd 0
200228,191759,-system,sys,wsa_accept from 0 - 892
200228,191815,ADMIN,sta,account login 0-0
200228,193107,-system,clo,server fd 0
200228,193114,-system,sys,wsa_accept from 0 - 876
200228,193146,ADMIN,clo,svr:0 conn:1 do-not-save
200228,193146,ADMIN,sta,account login 0-0
200228,193624,ADMIN,clo,svr:0 conn:1 save-mob
200228,193626,-system,clo,server fd 0
200228,193652,-system,sys,wsa_accept from 0 - 908
200228,193658,ADMIN,sta,account login 0-0
200228,195033,ADMIN,clo,svr:0 conn:1 save-mob
200228,195038,-system,clo,server fd 0
200228,195043,-system,sys,wsa_accept from 0 - 904
200228,195051,ADMIN,sta,account login 0-0
200228,195118,ADMIN,clo,svr:0 conn:1 save-mob
200228,195621,-system,clo,server fd 0
200228,195627,-system,sys,wsa_accept from 0 - 876
200228,195636,ADMIN,clo,svr:0 conn:1 do-not-save
200228,195838,ADMIN,clo,svr:0 conn:1 do-not-save
200228,195908,ADMIN2,sta,account login 0-0
200228,200439,-system,clo,server fd 0
200228,200444,-system,sys,wsa_accept from 0 - 896
200228,200445,ADMIN,clo,svr:0 conn:1 do-not-save
200228,200447,ADMIN2,sta,account login 0-0
200228,202707,-system,clo,server fd 0
200228,202925,-system,sys,wsa_accept from 0 - 892
200228,202935,ADMIN,clo,svr:0 conn:1 do-not-save
200228,202936,ADMIN2,sta,account login 0-0
