3379, 91, 100, 0, 0, 0, 0, 5, 250
3380, 91, 100, 0, 0, 0, 0, 7, 250
3381, 91, 100, 0, 0, 0, 0, 12, 250
3364, 91, 100, 0, 0, 0, 0, 2, 250
3365, 91, 100, 0, 0, 0, 0, 3, 250
3319, 91, 100, 0, 0, 0, 0, 1, 250
3313, 91, 100, 0, 0, 0, 0, 1, 250
3206, 61, 20, 91, 100, 0, 0, 5, 250
3207, 61, 20, 91, 100, 0, 0, 5, 250
3208, 61, 20, 91, 100, 0, 0, 5, 250
3209, 61, 20, 91, 100, 0, 0, 5, 250
3173, 61, 1, 91, 100, 0, 0, 1, 250
777, 91, 100, 0, 0, 0, 0, 2, 250
3182, 91, 100, 0, 0, 0, 0, 3, 250
3172, 61, 2, 91, 100, 0, 0, 1, 250
3171, 91, 100, 0, 0, 0, 0, 2, 250
1731, 91, 100, 0, 0, 0, 0, 3, 250
3324, 91, 100, 0, 0, 0, 0, 1, 250
3325, 91, 100, 0, 0, 0, 0, 3, 250
3326, 91, 100, 0, 0, 0, 0, 5, 250
4019, 61, 0, 91, 100, 0, 0, 1, 250
4020, 61, 0, 91, 100, 0, 0, 2, 250
3344, 91, 100, 0, 0, 0, 0, 1, 250
3345, 91, 100, 0, 0, 0, 0, 3, 250
3346, 91, 100, 0, 0, 0, 0, 3, 250
3347, 91, 100, 0, 0, 0, 0, 5, 250
3348, 91, 100, 0, 0, 0, 0, 10, 250
3349, 91, 100, 0, 0, 0, 0, 15, 250
3351, 91, 100, 0, 0, 0, 0, 15, 250
3352, 91, 100, 0, 0, 0, 0, 15, 250
3353, 91, 100, 0, 0, 0, 0, 15, 250
3354, 91, 100, 0, 0, 0, 0, 15, 250
3355, 91, 100, 0, 0, 0, 0, 15, 250
3356, 91, 100, 0, 0, 0, 0, 15, 250
3373, 61, 100, 91, 100, 0, 0, 5, 250
3376, 61, 100, 91, 100, 0, 0, 7, 250
3438, 91, 100, 0, 0, 0, 0, 5, 250
4128, 91, 100, 0, 0, 0, 0, 1, 250
4129, 91, 100, 0, 0, 0, 0, 3, 250
4130, 91, 100, 0, 0, 0, 0, 5, 250
3397, 91, 100, 0, 0, 0, 0, 2, 250
3398, 91, 100, 0, 0, 0, 0, 2, 250
3399, 91, 100, 0, 0, 0, 0, 2, 250
3400, 91, 100, 0, 0, 0, 0, 2, 250
3401, 91, 100, 0, 0, 0, 0, 2, 250
3402, 91, 100, 0, 0, 0, 0, 2, 250
3403, 91, 100, 0, 0, 0, 0, 2, 250
3404, 91, 100, 0, 0, 0, 0, 2, 250
3405, 91, 100, 0, 0, 0, 0, 2, 250
3406, 91, 100, 0, 0, 0, 0, 2, 250
3417, 61, 5, 91, 100, 0, 0, 5, 250
3343, 91, 100, 0, 0, 0, 0, 7, 250
4140, 61, 3, 91, 100, 0, 0, 1, 250
3314, 61, 3, 91, 100, 0, 0, 1, 250
1739,61, 20, 91, 100, 0, 0, 5, 250
4145,61, 20, 91, 100, 0, 0, 5, 250
